"site","code","subplot","sample","stigpall","apharudi","aphacaro","aphafulv","bracdepi","camppenn","campamer","campchro","campsubb","campnear","cremminu","formsubs","lasialie","lasiumbr","monomini","monoamer","myrmlati","myrmpine","myrmpunc","myrmspat","nylafais","ponepenn","prenimpa","procsila","struclyp","struohio","pyraorna","strurost","solemole","stenmeri","stenbrev","stendiec","stenimpa","stenschm","stenunkn","tapisess","temnlong","temncurv","site_name","utm_n","utm_e","n","e","elevation_m","sample_x","sample_y"
"DBSP","DBSPLS04C2","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268931.5,3938412.5
"DBSP","DBSPLS04C3","C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268940.5,3938412.5
"DBSP","DBSPLS04C4","C",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268931.5,3938403.5
"DBSP","DBSPLS04C5","C",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268940.5,3938403.5
"DBSP","DBSPLS04D1","D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268971.5,3938412.5
"DBSP","DBSPLS04D2","D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268980.5,3938412.5
"DBSP","DBSPLS04D3","D",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268971.5,3938403.5
"DBSP","DBSPLS04D4","D",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,"Double Spring Gap",3938428,268956,35.5625738255543,-83.5492422610895,1707,268980.5,3938403.5
"FLTC","FLTCLS04A1","A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,"Flat Creek",3937816,302335,35.5643019270927,-83.1810616822307,1742,302310.5,3937840.5
"FLTC","FLTCLS04A2","A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Flat Creek",3937816,302335,35.5643019270927,-83.1810616822307,1742,302319.5,3937840.5
"FLTC","FLTCLS04A3","A",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Flat Creek",3937816,302335,35.5643019270927,-83.1810616822307,1742,302310.5,3937831.5
